pm2_5_24h,primary_pollutant,quality,area,pm2_5,time_point,position_name,aqi,station_code
30,,优,北京,24,2017-07-29T14:00:00Z,天坛,44,1004A
38,,优,北京,28,2017-07-29T14:00:00Z,农展馆,46,1005A
33,,优,北京,32,2017-07-29T14:00:00Z,万寿西宫,47,1001A
27,,优,北京,35,2017-07-29T14:00:00Z,古城,50,1012A
28,细颗粒物(PM2.5),良,北京,38,2017-07-29T14:00:00Z,海淀区万柳,54,1007A
36,细颗粒物(PM2.5),良,北京,40,2017-07-29T14:00:00Z,东四,57,1003A
32,细颗粒物(PM2.5),良,北京,41,2017-07-29T14:00:00Z,官园,58,1006A
29,"颗粒物(PM2.5),颗粒物(PM10)",良,北京,40,2017-07-29T14:00:00Z,,58,
32,细颗粒物(PM2.5),良,北京,43,2017-07-29T14:00:00Z,奥体中心,60,1011A
20,颗粒物(PM10),良,北京,37,2017-07-29T14:00:00Z,定陵,63,1002A
20,颗粒物(PM10),良,北京,46,2017-07-29T14:00:00Z,昌平镇,77,1010A
21,臭氧1小时,良,北京,48,2017-07-29T14:00:00Z,怀柔镇,80,1009A
38,细颗粒物(PM2.5),轻度污染,北京,76,2017-07-29T14:00:00Z,顺义新城,102,1008A
